User_SubFunctional_Area,User_Experience (Years),Relevant_Degree,Releveant_Cert,Industry,Sector,Relevant_Match_Score
Network / System Administration,6-12 exp,0,0,advertising,mrprevents,1.0
Network / System Administration,6-12 exp,0,0,advertising,mrprevents,1.0
Network / System Administration,6-12 exp,0,0,agriculture,dairy,0.84
Network / System Administration,6-12 exp,0,0,agriculture,dairy,0.84
Network / System Administration,6-12 exp,0,0,agriculture,dairy,0.86
Network / System Administration,6-12 exp,0,0,animation,animation,1.0
Hardware / Telecom Equipment Design,6-12 exp,1,1,architecture,interiordesign,0.86
Hardware / Telecom Equipment Design,6-12 exp,1,1,architecture,interiordesign,0.86
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,1,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,1,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
Network / System Administration,6-12 exp,0,0,automobile,autoancillaries,0.78
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,1,0,automobile,autoancillaries,1.0
"Embedded, VLSI",6-12 exp,1,0,automobile,autoancillaries,1.0
Network / System Administration,6-12 exp,0,0,automobile,autoancillaries,0.82
Network / System Administration,6-12 exp,0,0,automobile,autoancillaries,0.73
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,1,0,automobile,autoancillaries,0.76
Network / System Administration,6-12 exp,0,0,automobile,autoancillaries,0.77
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
Network / System Administration,6-12 exp,0,1,automobile,autoancillaries,0.86
Network / System Administration,6-12 exp,0,0,automobile,autoancillaries,0.86
Network / System Administration,6-12 exp,0,0,automobile,autoancillaries,0.77
Network / System Administration,6-12 exp,0,1,automobile,autoancillaries,1.0
Network / System Administration,6-12 exp,0,0,automobile,autoancillaries,0.84
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
Network / System Administration,6-12 exp,0,0,automobile,autoancillaries,0.84
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
Network / System Administration,6-12 exp,0,0,automobile,autoancillaries,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,1,automobile,autoancillaries,0.74
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.75
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
"Embedded, VLSI",6-12 exp,0,0,automobile,autoancillaries,0.76
Telecom Network Design / Management,6-12 exp,0,0,automobile,autoancillaries,0.86
"Embedded, VLSI",12+,0,0,automobile,autoancillaries,0.76
Hardware / Telecom Equipment Design,12+,0,0,automobile,autoancillaries,0.76
Network / System Administration,12+,1,0,automobile,autoancillaries,1.0
"Embedded, VLSI",6-12 exp,0,0,aviation,airline,0.76
"Embedded, VLSI",6-12 exp,0,0,aviation,airline,0.76
"Embedded, VLSI",6-12 exp,0,1,aviation,airline,0.76
"Embedded, VLSI",6-12 exp,0,0,aviation,airline,1.0
Network / System Administration,6-12 exp,0,0,aviation,airline,0.73
"Embedded, VLSI",6-12 exp,0,0,aviation,airline,0.76
"Embedded, VLSI",6-12 exp,0,0,aviation,airline,0.76
Telecom Network Design / Management,6-12 exp,1,0,aviation,airline,0.74
Network / System Administration,12+,0,0,aviation,airline,0.74
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.84
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.92
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.73
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.73
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.73
Network / System Administration,6-12 exp,0,1,banking,financialservices,0.86
Network / System Administration,6-12 exp,0,1,banking,financialservices,0.86
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.77
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.73
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.92
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.73
Network / System Administration,6-12 exp,0,0,banking,financialservices,1.0
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.76
Network / System Administration,6-12 exp,1,0,banking,financialservices,1.0
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.84
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.73
Network / System Administration,6-12 exp,0,1,banking,financialservices,1.0
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.82
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,0,banking,financialservices,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,0,banking,financialservices,0.84
Network / System Administration,6-12 exp,1,0,banking,financialservices,1.0
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.73
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.73
Network / System Administration,6-12 exp,0,0,banking,financialservices,0.84
"Embedded, VLSI",6-12 exp,1,0,bpo,callcenter,1.0
Hardware / Telecom Equipment Design,6-12 exp,0,0,bpo,callcenter,0.76
"Embedded, VLSI",6-12 exp,1,0,bpo,callcenter,1.0
Hardware / Telecom Equipment Design,6-12 exp,0,0,bpo,callcenter,0.76
Network / System Administration,6-12 exp,0,0,bpo,callcenter,0.73
Network / System Administration,6-12 exp,0,0,bpo,callcenter,0.73
Hardware / Telecom Equipment Design,6-12 exp,0,0,bpo,callcenter,0.91
Network / System Administration,6-12 exp,1,1,bpo,callcenter,0.86
Network / System Administration,6-12 exp,0,0,bpo,callcenter,0.73
Network / System Administration,6-12 exp,0,0,bpo,callcenter,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,bpo,callcenter,0.91
Network / System Administration,6-12 exp,0,0,bpo,callcenter,1.0
Network / System Administration,6-12 exp,0,1,bpo,callcenter,0.86
Hardware / Telecom Equipment Design,6-12 exp,0,0,bpo,callcenter,1.0
Telecom Network Design / Management,6-12 exp,0,0,bpo,callcenter,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,0,bpo,callcenter,0.86
Network / System Administration,6-12 exp,0,0,bpo,callcenter,0.73
Telecom Network Design / Management,6-12 exp,0,0,bpo,callcenter,0.86
Telecom Network Design / Management,6-12 exp,0,1,bpo,callcenter,0.84
Network / System Administration,12+,0,0,bpo,callcenter,0.84
"Embedded, VLSI",6-12 exp,0,0,cement,buildingmaterial,0.76
Hardware / Telecom Equipment Design,6-12 exp,1,0,cement,buildingmaterial,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,0,cement,buildingmaterial,1.0
Hardware / Telecom Equipment Design,6-12 exp,0,0,cement,buildingmaterial,1.0
Network / System Administration,6-12 exp,0,0,chemical,plasticrubberglass,0.88
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,1,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,1,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,1,consumer,durableselectronics,0.76
Hardware / Telecom Equipment Design,6-12 exp,1,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,1,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,1,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,1,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
"Embedded, VLSI",6-12 exp,0,0,consumer,durableselectronics,0.76
