,User_SubFunctional_Area,User_Functional_Area,User_JobTitle,User_ProfileTitle,User_Industry,User_Experience (Years),User_Skills,Relevant_Degree,Releveant_Cert,Industry,Sector,Relevant_Skills,Relevant_Match_Score
0,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,accountant,fintech manager,advertising   mr   pr   events,6-12 exp,",,, ;",0,0,advertising,mrprevents,0,0
1,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive,msw+,advertising   mr   pr   events,6-12 exp,",admin incharge",0,0,advertising,mrprevents,0,0
2,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin panel,,advertising   mr   pr   events,6-12 exp,"system administratio,networkings,linux general,unix   general,windows7",0,0,advertising,mrprevents,0,0
3,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,mdms manager,,advertising   mr   pr   events,6-12 exp,mdms manager,0,0,advertising,mrprevents,0,0
4,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin manager,,advertising   mr   pr   events,6-12 exp,",streaming,,informing,soldering",0,0,advertising,mrprevents,0,0
5,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,marketing,,advertising   mr   pr   events,6-12 exp,,0,0,advertising,mrprevents,0,0
6,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,ao dataentry,customer service delivery  csd ,advertising   mr   pr   events,6-12 exp,activation officer,0,0,advertising,mrprevents,0,0
7,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant administration,technical support executive,advertising   mr   pr   events,6-12 exp,"data entry,,serco,,,one yearin computer,technical support ex",0,0,advertising,mrprevents,0,0
8,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engineer,advertising   mr   pr   events,6-12 exp,"sql server,c;c++;c#;asp.net,",0,0,advertising,mrprevents,0,0
9,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,graphics designer,gaphic designer,advertising   mr   pr   events,6-12 exp,photoshop; indesign;,0,0,advertising,mrprevents,0,0
10,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,back office executive hardware network,,advertising   mr   pr   events,6-12 exp,.net java c c++,0,0,advertising,mrprevents,0,0
11,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,airtel dth activation incharge,sales,advertising   mr   pr   events,6-12 exp,,0,0,advertising,mrprevents,0,0
12,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin head,,advertising   mr   pr   events,6-12 exp,administration,0,0,advertising,mrprevents,1,1.0
13,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,app promotion,best app promoting service,advertising   mr   pr   events,6-12 exp,",app promotion,app promotion;,man power provider",0,1,advertising,mrprevents,0,0
14,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,accountant,,advertising   mr   pr   events,6-12 exp,",",0,0,advertising,mrprevents,0,0
15,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administatrative,,advertising   mr   pr   events,6-12 exp,exhibit self motiv,0,0,advertising,mrprevents,0,0
16,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admission executive,,advertising   mr   pr   events,6-12 exp,"c,java,oracle 11g",0,0,advertising,mrprevents,0,0
17,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate manager,communications specialist; mba with 5+ years of experience in corporate communications & marcom,advertising   mr   pr   events,6-12 exp,"advertising,corporate communications,corporate communicat,advertising & media,advertising & media,corporate communicat",0,0,advertising,mrprevents,0,0
18,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive  and media coordinator,,advertising   mr   pr   events,6-12 exp,"linux general,system administratio,unix   general,windows7,networkings",0,0,advertising,mrprevents,0,0
19,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix adminstration  and network support,aix administrator,advertising   mr   pr   events,6-12 exp,",managing lease line,,handling mac devices,",0,1,advertising,mrprevents,0,0
20,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,,advertising   mr   pr   events,6-12 exp,"active directory,networkings,netbackup,system administratio,catalogs,linux general,unix   general",0,0,advertising,mrprevents,0,0
21,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,administrative manager,2d designer & 3d designer ; it,advertising   mr   pr   events,6-12 exp,creative experts exh,0,0,advertising,mrprevents,0,0
22,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administration it; accounts,administration it; accounts ,advertising   mr   pr   events,6-12 exp,",,,hardware & networkin,mail  lotus 8.2 & ou,administration  fron",0,0,advertising,mrprevents,0,0
23,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrative facility manager,,advertising   mr   pr   events,6-12 exp,"machining,,,facilities managemen,",0,0,advertising,mrprevents,0,0
24,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,admin department,,advertising   mr   pr   events,6-12 exp,eenadu television,0,0,advertising,mrprevents,0,0
25,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,announcer,,advertising   mr   pr   events,6-12 exp,"market comm.,advertising & media,",0,0,advertising,mrprevents,0,0
26,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,business pramotion head,cv sonal,advertising   mr   pr   events,6-12 exp,markting & computer,0,0,advertising,mrprevents,0,0
27,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,area service incharge,,advertising   mr   pr   events,6-12 exp,"networkings,pchardware,",0,1,advertising,mrprevents,0,0
28,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant manager it,assistant manager it,advertising   mr   pr   events,6-12 exp,",,windows xp,c,smtp,networkings,,xhtml,ubuntu,technical support,",0,1,advertising,mrprevents,0,0
