User_SubFunctional_Area,User_Functional_Area,User_JobTitle,User_ProfileTitle,User_Industry,User_Experience (Years),User_Skills,Relevant_Degree,Releveant_Cert,Industry,Sector
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,accountant,fintech manager,advertising   mr   pr   events,0.42,"english,hindi,sanskrit,hindi ;english",0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive,msw+,advertising   mr   pr   events,0.5,"1 year,admin incharge",0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin panel,,advertising   mr   pr   events,1.08,"system administratio,networkings,linux general,unix   general,windows7",0,0,advertising,mrprevents
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,mdms manager,,advertising   mr   pr   events,1.08,mdms manager,0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin manager,,advertising   mr   pr   events,1.17,"planning and scheduling,streaming,typewriting,informing,soldering",0,0,advertising,mrprevents
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,marketing,,advertising   mr   pr   events,1.42,mts mobile,0,0,advertising,mrprevents
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,ao dataentry,customer service delivery  csd ,advertising   mr   pr   events,1.5,activation officer,0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant administration,technical support executive,advertising   mr   pr   events,2.17,"data entry,english language learning,serco,english,hindi,one yearin computer,technical support ex",0,0,advertising,mrprevents
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engineer,advertising   mr   pr   events,2.42,"sql server,c;c++;c#;asp.net,2g; 3g ran  &amp; lt",0,0,advertising,mrprevents
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,graphics designer,gaphic designer,advertising   mr   pr   events,2.5,photoshop; indesign;,0,0,advertising,mrprevents
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,back office executive hardware network,,advertising   mr   pr   events,2.5,.net java c c++,0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,airtel dth activation incharge,sales,advertising   mr   pr   events,2.75,sales,0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin head,,advertising   mr   pr   events,3,administration,0,0,advertising,mrprevents
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,app promotion,best app promoting service,advertising   mr   pr   events,3,"app promotion on a l,app promotion,app promotion;,man power provider",0,1,advertising,mrprevents
